task,n_qubits,h1_combined_exceeds_all_four,h2a_sum_framing_sub_additive,h2a_product_framing_sub_additive,h2b_sum_framing_sub_additive,h2b_product_framing_sub_additive,best_config,entanglement_only_is_best,combined_worse_than_baseline
tfim_h0.5,2,False,True,True,True,True,entanglement_only,True,True
tfim_h0.5,3,False,False,False,False,False,entanglement_local,False,True
tfim_h0.5,4,False,True,True,True,False,entanglement_only,True,True
tfim_h0.5,5,False,True,True,False,False,entanglement_only,True,True
tfim_h0.5,6,False,True,True,False,False,entanglement_only,True,False
tfim_h0.5,7,False,True,True,False,False,entanglement_only,True,False
tfim_h0.5,8,False,True,True,False,False,entanglement_only,True,False
tfim_h0.5,9,False,True,True,False,False,entanglement_only,True,False
tfim_h0.5,10,False,True,True,False,False,entanglement_only,True,False
tfim_h2.0,2,False,True,True,True,True,entanglement_only,True,True
tfim_h2.0,3,False,False,False,False,False,entanglement_local,False,True
tfim_h2.0,4,False,True,True,True,False,entanglement_only,True,True
tfim_h2.0,5,False,True,True,True,False,entanglement_only,True,True
tfim_h2.0,6,False,True,True,False,False,entanglement_only,True,False
tfim_h2.0,7,False,True,True,False,False,entanglement_only,True,False
tfim_h2.0,8,False,True,True,False,False,entanglement_only,True,False
tfim_h2.0,9,False,True,True,False,False,entanglement_only,True,False
tfim_h2.0,10,False,True,True,False,False,entanglement_only,True,False
xxz_delta0.5,2,False,False,False,False,False,entanglement_local,False,True
xxz_delta0.5,3,False,False,False,True,False,entanglement_only,True,True
xxz_delta0.5,4,False,True,True,False,False,entanglement_only,True,True
xxz_delta0.5,5,False,True,True,False,False,entanglement_only,True,False
xxz_delta0.5,6,False,True,True,False,False,entanglement_only,True,False
xxz_delta0.5,7,False,True,True,False,False,entanglement_only,True,False
xxz_delta0.5,8,False,True,True,False,False,entanglement_only,True,False
xxz_delta0.5,9,False,True,True,False,False,entanglement_only,True,False
xxz_delta0.5,10,False,True,True,False,False,entanglement_only,True,False
