file,line_or_label,current_claim,current_numeric_value,authoritative_replacement_source,required_action,revision_status
paper/sn-article.tex,abstract,"Historical H1/H2 and no residual interaction conclusion","H1 0.0043 Holm 0.013; H2 0.025 Holm 0.002",results/final_submission_v1/final_numerical_results.csv,"Replace structured abstract with centered family and qualified classifications",pending
paper/sn-article.tex,sec:methods factor coding,"Generic effect coding notation and incomplete estimand explanation","{-1/2,+1/2}",verification/factor_coding_correction_results.md,"Use E_c/L_c/R_c; explain equal averaging and unchanged fit",pending
paper/sn-article.tex,sec:methods bootstrap,"Historical bootstrap counts and n terminology","H1 400; H2-H4 443",results/primary_corrected/effect_coded/,"Use completed fits: H1 2000/0 failures; H2-H4 443 and hierarchy",pending
paper/sn-article.tex,sec:methods measurement,"Energy two bases versus global one basis shorthand","one basis",verification/measurement_resource_accounting.md,"Describe abstract overlap setting and TFIM Z/X multinomials",pending
paper/sn-article.tex,sec:methods resources,"Matched total shots without complete job scope","approximately 27%",results/resource_accounting/,"State 48 versus 61 jobs and simulator-only limitations",pending
paper/sn-article.tex,sec:h1-results,"Superseded direct/reference-level H1 primary result","0.004346; SE 0.001529; Holm 0.0134; bootstrap 400",results/primary_corrected/effect_coded/corrected_confirmatory_hypotheses.csv,"Replace with centered H1 and 2000-fit interval",pending
paper/sn-article.tex,sec:h1-results,"Ambiguous unconditioned multiplicative index","J_EL=1.242",results/jel_conditional/summary.csv,"Rename J_EL_given_R0 and explain descriptive conditional estimand",pending
paper/sn-article.tex,sec:h2-results,"Superseded direct/reference-level H2 primary result","0.024996; SE 0.007279; Holm 0.00238",results/primary_corrected/effect_coded/corrected_confirmatory_hypotheses.csv,"Replace with centered H2 and preserve bootstrap disagreement",pending
paper/sn-article.tex,sec:h2-results,"Historical H2 depth package described as current H1 stability evidence","multiple old H2 depth values",verification/h1_depth_weighting_results.md,"Replace relevant exact-gradient discussion with frozen H1 depth/weighting package",pending
paper/sn-article.tex,tab:confirmatory-summary,"Historical H1-H4 family and hidden cross-method disagreement","0.00435; 0.02500; -0.00096; H4 Holm 0.115",results/final_submission_v1/final_numerical_results.csv,"Replace all rows/columns/caption",pending
paper/sn-article.tex,fig:confirmatory-forest,"Historical forest source values and counts","H1 400; H2-H4 443",results/primary_corrected/effect_coded/,"Render from frozen corrected table and intervals",pending
paper/sn-article.tex,sec:residual-results,"H3 reference-level non-rejection and no residual-interaction framing","-0.000958; Holm 0.896",verification/h3_centered_interaction_robustness_results.md,"Replace with centered H3 plus post-primary explanation",pending
paper/sn-article.tex,sec:residual-results,"Old H4 Holm value","0.115",results/primary_corrected/effect_coded/corrected_confirmatory_hypotheses.csv,"Replace with 0.057658 and unresolved language",pending
paper/sn-article.tex,sec:task-results,"Final energy/global fidelity terminology","final energy; global fidelity",verification/task_metrics_results.md,"Use prepared-state metrics at initialization",pending
paper/sn-article.tex,sec:discussion,"24.2% improvement/super-additive shift lacks conditional label","24.2%",verification/jel_conditional_bootstrap_results.md,"Use above-reference descriptive conditional J language",pending
paper/sn-article.tex,sec:discussion,"No robust residual interaction / absence framing","no robust interaction",verification/h3_centered_interaction_robustness_results.md,"Use model-dependent objective-specific classification",pending
paper/sn-article.tex,sec:limitations,"Incorrect statement that no second-seed H1 is reported",,verification/h1_independent_seed_results.md,"Replace and add required limitations",pending
paper/sn-article.tex,sec:conclusion,"Old H1/H2 hierarchy and no residual interaction conclusion",,verification/final_numerical_results_freeze.md,"Replace with restrained frozen conclusion",pending
paper/sn-article.tex,declarations,"Repository and AI-use disclosures require audit",,local repository evidence,"Retain facts only; add accurate AI disclosure or block",pending
paper/supplemental.tex,sec:zero-variance,"Historical direct/reference-level H2/H3 sensitivity values","0.024996; -0.000958",results/superseded/direct_01_factor_coding/,"Relabel historical audit or replace current interpretation",pending
