task,n_qubits,h1_combined_exceeds_all_four,h2a_sum_framing_sub_additive,h2a_product_framing_sub_additive,h2b_sum_framing_sub_additive,h2b_product_framing_sub_additive,best_config,entanglement_only_is_best,combined_worse_than_baseline,residual_reduction
tfim_h0.5,4,False,True,True,True,False,entanglement_only,True,True,sum
tfim_h0.5,10,False,True,True,False,False,entanglement_only,True,False,sum
tfim_h2.0,4,False,True,True,True,False,entanglement_only,True,True,sum
tfim_h2.0,10,False,True,True,False,False,entanglement_only,True,False,sum
xxz_delta0.5,4,False,True,True,False,False,entanglement_only,True,True,sum
xxz_delta0.5,10,False,True,True,False,False,entanglement_only,True,False,sum
tfim_h0.5,4,False,True,True,True,False,entanglement_only,True,True,mean
tfim_h0.5,10,False,True,True,False,False,entanglement_residual,False,False,mean
tfim_h2.0,4,False,True,True,True,True,entanglement_only,True,True,mean
tfim_h2.0,10,False,True,True,False,False,entanglement_residual,False,False,mean
xxz_delta0.5,4,False,True,True,False,False,entanglement_only,True,True,mean
xxz_delta0.5,10,False,True,True,False,False,entanglement_residual,False,False,mean
